s,hashtag,sentiment,comments
,DemocraciaMarcaEspaña,pro,
*,CataluñaLibre,pro,
,RepúblicaCatalana,pro,
*,IndependenciaCataluña,pro,
,FreePiolin,pro,
,TotsSomCatalunya,pro,
,ProuPuigdemont,anti,
,OrgullososDeSerEspañoles,anti,
,NoALosPaísesCatalanes,anti,
*,CataluñaEsEspaña,anti,
,BarcelonaEsEspaña,anti,
,LongLiveTheUnityOfSpain,anti,
*,EspañaUnida,anti,
,EspanaNoSeRompe,anti,
,ProuPuigdemont,anti,
*,CatalanReferendum,neut,
,ReferendumCatalan,neut,
,1Oct,neut,
,referendumCAT,neut,
,Votarem,neut,
,referéndum,neut,
,1O,neut,
,CatalanReferendum2017,neut,
,JoVoto,neut,
,marxem,pro,"let's march"
,1octL6,pro,L6 appears to be a metro station - maybe where clashes started?
,1Oct2017,neut,
,1Oct2017votarem,neut,
,1ONoTincPor,pro,"I'm not afraid"
,ref1oct,neut,
,SpanishDictatorship,pro,
,spainispain,pro,
,CatalanIndyref,neut,
,CATvotaSí,pro,
,CatalanRef2017,neut,
,referendum1deoctubre,neut,
,DefiendeEspaña,anti,
,DontDUIt,anti,
,PorLaUnidadDeEspaña,anti,
,DefiendeLaDemocracia,neut,well - both
,contralaindependencia,anti,
,SpanishRepression,pro,
,Ref1oct,neut,
,LetCatalansVote,pro,
,CataloniaIsNotSpain,pro,
,Freedom4Catalonia,pro,
